,eigenvalue,explained_variance_ratio,cumulative_variance
PC1,3.784646744062558,0.25055763166710443,0.25055763166710443
PC2,2.585192322552552,0.17114930653935867,0.4217069382064631
PC3,1.9588206008203024,0.12968117866541812,0.5513881168718813
PC4,1.5413600500504812,0.10204374405426792,0.6534318609261491
PC5,1.1410691588629582,0.07554300449879767,0.7289748654249468
PC6,1.0349291299013326,0.06851614147031967,0.7974910068952665
PC7,0.8333656464641618,0.05517189233535883,0.8526628992306253
PC8,0.6806847753579648,0.04506385318342079,0.8977267524140461
PC9,0.4897684159201183,0.032424483091007816,0.9301512355050539
PC10,0.45045557177907963,0.02982182720574461,0.9599730627107985
PC11,0.33371220607518265,0.022092984013310692,0.9820660467241092
PC12,0.22769650338583086,0.015074351844524906,0.9971403985686341
PC13,0.04280937670427716,0.0028341392910701995,0.9999745378597044
PC14,0.00031119368395587536,2.0602174447078775e-05,0.9999951400341515
PC15,7.340927435816736e-05,4.859965848712003e-06,1.0000000000000002
