,OLS,Ridge,Lasso
SONIA,-5.411190577557462,0.005695034120994023,0.0
SONIA_EFFR_spread,1.9307120391923762,0.08776406003827428,0.0
slope,-0.15010944270827675,-0.018425618206063015,-0.0
slope_change,0.0030044716063495408,0.033959107796954664,0.0
butterfly,0.3313580348778598,-0.033688224659482874,-0.0
butterfly_change,0.028561234698299194,-0.05637015350266947,-0.0
swap_spread,-0.2512205637734381,0.025504728936088343,0.0
IG_gilt_spread,10.993771879799539,0.3793651802691864,0.6062978470627285
HY_IG_spread,8.145349682455057,-0.06984405235294439,-0.0
inflation,0.05186572835613124,0.013390805334121297,0.0
inflation_change,0.13035561990159042,0.07082363430566664,0.0
S&P_500_HY_spread,7.804837762398512,-0.38975720656976215,-0.5744494021395373
S&P_500_ERP,-6.234442612660959,0.011271087728572287,0.0
VIX,-0.27588209497401067,-0.1868277041932069,-0.0
VIX_change,-0.42011533106948434,-0.272860658748373,-0.2638866036642147
